ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,ArticleTitle.1
Abraham_Lincoln,Did lincoln have 18 months of schooling?,yes,easy,easy,S08_set3_a4,
Abraham_Lincoln,Was Lincoln chosen as a presidential candidate in 1860?,yes,easy,easy,S08_set3_a4,
Abraham_Lincoln,How old was Lincoln in 1816?,seven,medium,medium,S08_set3_a4,
Abraham_Lincoln,When was the first photgraph of lincoln taken?,1846,medium,medium,S08_set3_a4,
Abraham_Lincoln,How long was Lincoln's legal Career?,23 years,medium,medium,S08_set3_a4,
Abraham_Lincoln,What trail did Lincoln use a Farmers' Almanac in? ,"he defended william ""duff"" armstrong",hard,hard,S08_set3_a4,
Abraham_Lincoln,Did Abraham Lincoln live in the Frontier?,yes,hard,medium,S08_set3_a4,
Abraham_Lincoln,Did Lincoln's Wife's Family support slavery?,yes,hard,medium,S08_set3_a4,
Amedeo_Avogadro,Who is most noted for his contributions to the theory of molarity and molecular weight?,amedeo avogadro,,medium,S08_set4_a8,
Amedeo_Avogadro,Who graduated in ecclesiastical law at the early age of 20 and began to practice?,amedeo avogadro,,medium,S08_set4_a8,
Amedeo_Avogadro,When did he publish another memoria?,1821,,medium,S08_set4_a8,
Amedeo_Avogadro,When did he become a professor?,1820,,medium,S08_set4_a8,
Amedeo_Avogadro,Is it true that he became a professor in 1820?,yes,,easy,S08_set4_a8,
Amedeo_Avogadro,Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes,,easy,S08_set4_a8,
Amedeo_Avogadro,"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes,,easy,S08_set4_a8,
Amedeo_Avogadro,Is he most noted for his contributions to the theory of molarity and molecular weight?,yes,,easy,S08_set4_a8,
Amedeo_Avogadro,Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes,,easy,S08_set4_a8,
Amedeo_Avogadro,Is Avogadro 's number commonly used to compute the results of chemical reactions ?,yes,,easy,S08_set4_a8,
Amedeo_Avogadro,Did the scientific community not reserve great attention to his theory ?,yes,,easy,S08_set4_a8,
Amedeo_Avogadro,Can the title of this famous 1811 paper be roughly translated into english?,yes,,easy,S08_set4_a8,
Amedeo_Avogadro,What happened in 1833?,avogadro had been recalled to turin university,,medium,S08_set4_a8,
Anders_Celsius,Who determined the dependence of the boiling of water with atmospheric pressure?,anders celsius,,medium,S08_set4_a5,
Anders_Celsius,What is named after him?,the celsius crater on the moon,,medium,S08_set4_a5,
Anders_Celsius,When did he publish a collection?,1733,,easy,S08_set4_a5,
Anders_Celsius,Is it true that he published a collection in 1738?,no,,easy,S08_set4_a5,
Anders_Celsius,Is it true that thermometer had 100 for the freezing point?,yes,,easy,S08_set4_a5,
Anders_Celsius,Was Celsius born in Uppsala in Sweden?,yes,,easy,S08_set4_a5,
Anders_Celsius,"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",yes,,easy,S08_set4_a5,
Anders_Celsius,Is The Celsius crater on the Moon named after him?,yes,,easy,S08_set4_a5,
Anders_Celsius,Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,anders celsius,,medium,S08_set4_a5,
Anders_Celsius,The Celsius crater on the Moon is what?,named after him,,medium,S08_set4_a5,
Anders_Celsius,Is the Celsius crater on the Moon named after him ?,yes,,easy,S08_set4_a5,
Anders_Celsius,Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,yes it had,,easy,S08_set4_a5,
Anders_Celsius,Was Celsius born in Uppsala in Sweden ?,yes,,easy,S08_set4_a5,
Anders_Celsius,Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,yes he did,,easy,S08_set4_a5,
Anders_Celsius,What happened from 1730 to 1744?,he was professor of astronomy at uppsala university,,easy,S08_set4_a5,
Anders_Celsius,What happened in 1745?,the scale was reversed,,medium,S08_set4_a5,
beetle,Are beetles insects?,yes,easy,easy,S08_set1_a8,
beetle,Can beetles be found in polar regions?,no,easy,hard,S08_set1_a8,
beetle,Do beetles antennae function primarily as organs of smell?,yes,easy,easy,S08_set1_a8,
beetle,What are the three sections of a beetle?,"the head, the thorax, and the abdomen",medium,medium,S08_set1_a8,
beetle,Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry,medium,easy,S08_set1_a8,
beetle,Which type of beetle is a pest of potato plants?,colorado potato beetle,medium,easy,S08_set1_a8,
beetle,How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",hard,medium,S08_set1_a8,
beetle,What do beetles eat?,"some are generalists, eating both plants and animals other beetles are highly specialised in their diet",hard,hard,S08_set1_a8,
beetle,What are the similarities between beetles and grasshoppers?,mouthparts,hard,medium,S08_set1_a8,
beetle,Are certain species of beetles considered pests?,yes,easy,easy,S08_set1_a8,
beetle,Is a beetle's general anatomy uniform?,yes,easy,medium,S08_set1_a8,
beetle,Are beetles endopterygotes?,yes,easy,easy,S08_set1_a8,
beetle,How many species of beetles are there?,"350,000",medium,medium,S08_set1_a8,
beetle,When are sperm cells transferred to the female?,during pairing,medium,hard,S08_set1_a8,
beetle,What is the study of beetles called?,coleopterology,medium,medium,S08_set1_a8,
beetle,"Is it possible that there are more than 350,000 species of beetles?",yes,hard,hard,S08_set1_a8,
beetle,Is the Adephaga suborder larger than the Polyphaga suborder?,no,hard,hard,S08_set1_a8,
beetle,Do carrion beetles eat dung?,no,hard,medium,S08_set1_a8,
beetle,What are prey of various animals including birds and mammals?,beetles,,easy,S08_set1_a8,
beetle,What was given by Aristotle for the hardened shield like forewings?,"the name ""coleoptera""",,easy,S08_set1_a8,
beetle,Who or what vary greatly in form within the coleoptera?,antennae,,easy,S08_set1_a8,
beetle,Are many beetles territorial?,yes,,easy,S08_set1_a8,
beetle,Are beetles endopterygotes with complete metamorphosis?,yes,,easy,S08_set1_a8,
beetle,Oxygen is what?,one kind of gas obtained via a tracheal system,,too hard,S08_set1_a8,
beetle,Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,yes,,easy,S08_set1_a8,
beetle,Have coleopterists formed organisations to facilitate the study of beetles ?,yes,,easy,S08_set1_a8,
beetle,"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?",yes,,medium,S08_set1_a8,
beetle,May a single female lay from several dozen to several thousand eggs during her lifetime ?,yes,,easy,S08_set1_a8,
beetle,Can beetles be found in almost all habitats?,yes,,easy,S08_set1_a8,
beetle,What happened on plants and fungi?,they are food to beetles,,hard,S08_set1_a8,
Calvin_Coolidge,Was Calvin Coolidge the twenty-ninth vice president?,no,easy,easy,S08_set3_a9,
Calvin_Coolidge,"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes,easy,easy,S08_set3_a9,
Calvin_Coolidge,Did Coolidge graduate from Black River Academy?,yes,easy,easy,S08_set3_a9,
Calvin_Coolidge,When did he drop John from his name?,upon graduating from college,medium,medium,S08_set3_a9,
Calvin_Coolidge,When did Coolidge meet and marry Grace Anna Goodhue?,1905,medium,medium,S08_set3_a9,
Calvin_Coolidge,What period of rapid economic growth did the United States experience during Coolidge's presidency?,the roaring twenties,medium,medium,S08_set3_a9,
Calvin_Coolidge,What did Coolidge do after graduating from Amherst?,"coolidge moved to northampton, massachus08_setts",hard,medium,S08_set3_a9,
Calvin_Coolidge,Of what state was Coolidge governor?,massachus08_setts,hard,medium,S08_set3_a9,
Calvin_Coolidge,Who appointed Harlan Fiske Stone to the Supreme Court?,coolidge,hard,medium,S08_set3_a9,
Calvin_Coolidge,Was Coolidge the thirteenth President of the United States?,no,easy,easy,S08_set3_a9,
Calvin_Coolidge,Was Calvin Coolidge Republican?,yes,easy,easy,S08_set3_a9,
Calvin_Coolidge,Was Calvin Coolidge a governor of MassachuS08_setts?,yes,easy,medium,S08_set3_a9,
Calvin_Coolidge,When was Coolidge born?,july 4 1872,medium,medium,S08_set3_a9,
Calvin_Coolidge,Where did Coolidge's grandfather had government offices?,plymouth,medium,medium,S08_set3_a9,
Calvin_Coolidge,Which state were Coolidge born in?,"plymouth, windsor county, vermont",medium,medium,S08_set3_a9,
Calvin_Coolidge,Is Calvin Jr. older than John Coolidge?,no,hard,hard,S08_set3_a9,
Calvin_Coolidge,Did Coolidge get in Amherst College?,yes,hard,medium,S08_set3_a9,
Calvin_Coolidge,What caused Calvin Jr.'s death?,heart attack,hard,hard,S08_set3_a9,
Calvin_Coolidge,Was John Calvin Coolidge Jr. was born in Las Vegas?,no,easy,easy,S08_set3_a9,
Calvin_Coolidge,Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?,yes,easy,medium,S08_set3_a9,
Calvin_Coolidge,Did Coolidge meet and marry Grace Anna Goodhue?,yes,easy,easy,S08_set3_a9,
Calvin_Coolidge,What year did Coolidge open his own law office?,1898,medium,medium,S08_set3_a9,
Calvin_Coolidge,What fraternity was Coolidge a member of?,phi gamma delta,medium,medium,S08_set3_a9,
Calvin_Coolidge,In 1905 Coolidge met and married whom?,grace anna goodhue,medium,medium,S08_set3_a9,
Calvin_Coolidge,Why did Coolidge not attend law school?,it was too expensive,hard,hard,S08_set3_a9,
Calvin_Coolidge,Have there been other US presidents that have visited Cuba?,no,hard,medium,S08_set3_a9,
Calvin_Coolidge,What years were Coolidge's two sons born in?,1906 and 1908,hard,medium,S08_set3_a9,
Canada,Did France cede nearly all of its colonies in Europe in 1763?,yes,easy,easy,S08_set2_a8,
Canada,Is Canada a member of the OECD?,yes,easy,easy,S08_set2_a8,
Canada,Is Canada's official language Zulu?,no,easy,easy,S08_set2_a8,
Canada,What is one significant non-official language?,chinese,medium,medium,S08_set2_a8,
Canada,"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?",quebec city,medium,medium,S08_set2_a8,
Canada,What was the Consitution Act formerly called?,the british north america act,medium,hard,S08_set2_a8,
Canada,Which countries established colonies in Canada?,france and britain,hard,hard,S08_set2_a8,
Canada,How has Canada helped UN peacekeeping efforts?,"during the suez crisis of 1956, lester b pearson eased tensions by proposing the inception of the united nations peacekeeping force canada has since served in 50 peacekeeping missions, including every un peacekeeping effort until 1989",hard,medium,S08_set2_a8,
Canada,What percentage of the population don't speak English or French at home?,28%,hard,too hard,S08_set2_a8,
Canada,Is Canada bilingual?,yes,easy,easy,S08_set2_a8,
Canada,Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,yes,easy,easy,S08_set2_a8,
Canada,Is an official language of Canada German?,no,easy,easy,S08_set2_a8,
Canada,How many provinces and territories does Canada have?,a federation now comprising ten provinces and three territories,medium,medium,S08_set2_a8,
Canada,What is Canada's national unemployment rate?,"while as of october 2007, canada's national unemployment rate of 59% is its lowest in 33 years provincial unemployment rates vary from a low of 36% in alberta to a high of 146% in newfoundland and labrador ",medium,medium,S08_set2_a8,
Canada,Where is the most densely populated part of Canada?,the most densely populated part of the country is the quebec city-windsor corridor along the great lakes and saint lawrence river in the southeast,medium,medium,S08_set2_a8,
Canada,What is the largest country in the world?,"canada is the second largest country in the world, after russia, and largest on the continent",hard,medium,S08_set2_a8,
Canada,What is the largest religious group in Canada?,"according to 2001 census, 771% of canadians identified as being christians; of this, catholics make up the largest group (436% of canadians) the largest protestant denomination is the united church of canada; about 165% of canadians declare no religious affiliation, and the remaining 63% were affiliated with religions other than christianity, of which the largest is islam numbering 19%, followed by judaism: 11% ",hard,hard,S08_set2_a8,
Canada,When did Canada have one of the largest armed forces in the world?,1944,hard,hard,S08_set2_a8,
Canada,What have been inhabited for millennia by aboriginal peoples?,the lands,,easy,S08_set2_a8,
Canada,European books and maps began referring to this region as Canada in what year?,1545,,easy,S08_set2_a8,
Canada,What was Canada's most important industry until the 1800s?,the fur trade,,easy,S08_set2_a8,
Canada,Is it true that it angered many residents of the thirteen colonies?,yes,,easy,S08_set2_a8,
Canada,How do cuba and declining participation relate?,canada maintains full relations with both,,easy,S08_set2_a8,
Canada,Is it true that provinces have a large degree of autonomy?,yes,,easy,S08_set2_a8,
Canada,What did Canada adopt in 1965?,the maple leaf flag,,medium,S08_set2_a8,
Canada,What arrived in Britain?,the first canadian army units in ww ii,,easy,S08_set2_a8,
Canada,Are Canada 's two official languages English and French ?,yes,,easy,S08_set2_a8,
Canada,Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?,yes,,easy,S08_set2_a8,
Canada,Is Canada a geographically vast and ethnically diverse country ?,yes,,easy,S08_set2_a8,
Canada,Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ; ?,no!,,easy,S08_set2_a8,
Canada,"Did Cartier not use the word ` Canada ' to refer to not only that village , but the entire area subject to Donnacona , Chief at Stadacona ?",yes,,easy,S08_set2_a8,
Canada,Did continental European immigrants not S08_settle the prairies ?,no,,easy,S08_set2_a8,
Canada,Is it the world 's second largest country by total area?,yes,,easy,S08_set2_a8,
Canada,What happened in 1867?,"canada was formed as a federal, semi-autonomous polity",,easy,S08_set2_a8,
duck,Are ducks in the Arctic Northern Hemisphere migratory?,some are,easy,medium,S08_set1_a10,
duck,Is a drake a male?,yes,easy,medium,S08_set1_a10,
duck,"Do all ducks ""quack""?",no,easy,medium,S08_set1_a10,
duck,What is the name of a specialized species of duck adapted to catch large fish?,the smew,medium,medium,S08_set1_a10,
duck,What animal attracts the most humor and silliness?,the duck,medium,medium,S08_set1_a10,
duck,What is an economic use of a duck?,meat,medium,medium,S08_set1_a10,
duck,Who is Daffy Duck?,a silly cartoon character,hard,hard,S08_set1_a10,
duck,What makes it more difficult for a diving duck to fly?,they are heavier,hard,hard,S08_set1_a10,
duck,What are the reasons for hunting wild ducks?,"meat, eggs, and feathers",hard,too hard,S08_set1_a10,
duck,Do ducks forage underwater?,yes,easy,easy,S08_set1_a10,
duck,Is foie gras often made from ducks?,yes,easy,easy,S08_set1_a10,
duck,What economic uses to ducks have?,"they are farmed for their meat, eggs and feathers they are also kept and bred by aviculturists and often displayed in zoos",medium,medium,S08_set1_a10,
duck,What kind of ducks feed on land?,dabbling ducks,medium,easy,S08_set1_a10,
duck,What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",medium,easy,S08_set1_a10,
duck,What does the word duck mean?,it is the common name for a number of species in the anatidae family of birds,hard,hard,S08_set1_a10,
duck,What are some common predators of ducks?,"pike, crocodilians, herons, hawks and eagles",hard,hard,S08_set1_a10,
duck,How does a Mallard's tongue work?,"it's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat",hard,hard,S08_set1_a10,
duck,Are diving ducks heavier tha dabbling ducks?,yes,easy,easy,S08_set1_a10,
duck,Are adult ducks fast fliers?,yes,easy,easy,S08_set1_a10,
duck,Are ducks an accepted presence in some populated areas?,yes,easy,easy,S08_set1_a10,
duck,What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots",medium,medium,S08_set1_a10,
duck,Why are ducklings particularly vulnerable?,their inability to fly,medium,medium,S08_set1_a10,
duck,What are some economic uses for duck?,"meat,eggs,feathers",medium,medium,S08_set1_a10,
duck,What allows a duck to filter water out of the side of their beaks and keep food inside?,tiny rows of plates called lamellae,hard,hard,S08_set1_a10,
duck,What expression is part of a conceptual framework for testing computer systems?,quacks like a duck,hard,hard,S08_set1_a10,
duck,"Where did the expression ""a sitting duck"" come from?","in many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys",hard,hard,S08_set1_a10,
Egypt,Is Egypt bordered by the Gaza Strip?,yes,easy,easy,S08_set2_a6,
Egypt,Is Egypt the most populated country in Africa?,no,easy,medium,S08_set2_a6,
Egypt,Does Egypt have political influence in the Middle East?,yes,easy,easy,S08_set2_a6,
Egypt,When was the Six Day War?,1967,medium,easy,S08_set2_a6,
Egypt,What religions has Egypt outlawed?,"all but christianity, islam, and judaism",medium,hard,S08_set2_a6,
Egypt,What is the poulation of Egypt?,more than 78 million,medium,easy,S08_set2_a6,
Egypt,Why does most of Egypt's population live near the Nile?,"the only arable agricultural land is found there,",hard,medium,S08_set2_a6,
Egypt,Are there a large number of Jews living in Egypt today?,no,hard,medium,S08_set2_a6,
Egypt,During what period was Akhenaten a Pharaoh?,the new kingdom (c1550&#8722;1070 bc) ,hard,hard,S08_set2_a6,
Egypt,Is Egypt in Asia?,no,easy,easy,S08_set2_a6,
Egypt,Does Egypt receive the least rainfall in the world?,yes,easy,easy,S08_set2_a6,
Egypt,Does Egypt's foreign policy operates along moderate lines?,yes,easy,easy,S08_set2_a6,
Egypt,Since when has Egypt been a republic?,june 18 1953,medium,medium,S08_set2_a6,
Egypt,When were the Great Sphinx and the Pyramids of Giza built?,during the old kingdom,medium,medium,S08_set2_a6,
Egypt,What countries border Egypt?,"libya, sudan, the gaza strip and israel",medium,hard,S08_set2_a6,
Egypt,What is the estimated population of Egypt?,more than 78 million,hard,hard,S08_set2_a6,
Egypt,Does snow fall in Egypt?,yes,hard,hard,S08_set2_a6,
Egypt,When did organized agriculture appear in the Nile Valley?,6000 bc,hard,medium,S08_set2_a6,
elephant,Are elephants the largest land animals alive today?,yes,easy,easy,S08_set1_a5,
elephant,Can an elephant kill a rhinoceros?,yes,easy,hard,S08_set1_a5,
elephant,Are elephants good swimmers?,yes,easy,easy,S08_set1_a5,
elephant,How many living species of African Elephants are there?,2,medium,hard,S08_set1_a5,
elephant,How long may elephants live?,70 years,medium,medium,S08_set1_a5,
elephant,Why does the phrase 'elephants never forget' have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory,medium,hard,S08_set1_a5,
elephant,How many living species of Asian Elephants are there?,1,hard,hard,S08_set1_a5,
elephant,How much do elephants weight at birth?,120 kilograms,hard,medium,S08_set1_a5,
elephant,What did Aristotle say about elephants?,the beast which pass08_seth all others in wit and mind,hard,hard,S08_set1_a5,
elephant,Are elephant populations in West Africa generally small and fragmented?,yes,easy,easy,S08_set1_a5,
elephant,Is the Asian elephant larger than the African?,no,easy,easy,S08_set1_a5,
elephant,Is an elephant's skin tough?,yes,easy,easy,S08_set1_a5,
elephant,How do elephants communicate over long distances?,by producing and receiving low frequency sound,medium,medium,S08_set1_a5,
elephant,When do African elephants lie down?,when they are sick or wounded,medium,medium,S08_set1_a5,
elephant,How long is the elephant's gestation period?,22 months,medium,medium,S08_set1_a5,
elephant,How many species of African elephants have been proposed?,three,hard,hard,S08_set1_a5,
elephant,What are the elephant's ears important for?,temperature regulation,hard,medium,S08_set1_a5,
elephant,What land animal has the largest brain?,elephant,hard,medium,S08_set1_a5,
elephant,Are elephants mammals?,yes,easy,easy,S08_set1_a5,
elephant,Have elephants been used as working animals?,yes,easy,easy,S08_set1_a5,
elephant,Do they prefer forested areas?,yes,easy,easy,S08_set1_a5,
elephant,What is the world population of Asian elephants?,60000,medium,medium,S08_set1_a5,
elephant,What part of an elephant is very important for temperature regulation?,ears,medium,medium,S08_set1_a5,
elephant,Where was the largest elephant ever recorded shot?,angola,medium,medium,S08_set1_a5,
elephant,Is an Asian elephant smaller than an African elephant?,yes,hard,hard,S08_set1_a5,
elephant,What land animal is larger than an elephant?,"none, the elephant is the largest land animal",hard,hard,S08_set1_a5,
elephant,Has tusklessness become a rare abnormality?,no,hard,hard,S08_set1_a5,
Finland,Were the treaties signed in 1947 and 1948 with the Ukraine?,no,easy,easy,S08_set2_a4,
Finland,Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?,yes,easy,easy,S08_set2_a4,
Finland,Is the most read newspaper in Finland Taloussanomat?,no,easy,easy,S08_set2_a4,
Finland,Which Russian army general conquered Finland in 1809?,alexander i,medium,hard,S08_set2_a4,
Finland,What is the life expectancy for men in Finland?,75 years,medium,medium,S08_set2_a4,
Finland,"In what year were the ""Games of the XV Olympiad"" held?",1952,medium,medium,S08_set2_a4,
Finland,What body of water lies to the south of Finland?,the gulf of finland,hard,hard,S08_set2_a4,
Finland,Name an animal that is growing in number due to recent conservation efforts,"golden eagle, brown bear, or eurasian lynx (change imperative to interrogative)",hard,hard,S08_set2_a4,
Finland,"Today, are there more cell phone subscriptions than people in Finland?",yes,hard,too hard,S08_set2_a4,
Finland,Is Matti Vanhanen the Prime Minister of Finland?,yes,easy,easy,S08_set2_a4,
Finland,Is the capital city Oslo?,no,easy,easy,S08_set2_a4,
Finland,Does it have a border with Norway?,yes,easy,medium,S08_set2_a4,
Finland,What is the life expectancy for men?,75 years,medium,medium,S08_set2_a4,
Finland,What is the biggest city in Finland?,greater helsinki,medium,hard,S08_set2_a4,
Finland,Who is the most popular rock group in Finland?,cmx,medium,medium,S08_set2_a4,
Finland,What is Finland's economy like?,"a highly industrialised, free-market economy",hard,medium,S08_set2_a4,
Finland,Where is Finland located?,northern europe,hard,medium,S08_set2_a4,
Finland,What is the weather like in summer?,relatively warm,hard,medium,S08_set2_a4,
Finland,Does salmon remain the favorite of fly rod enthusiasts?,yes,easy,easy,S08_set2_a4,
Finland,Are there cathedrals scattered all across Finland?,yes,easy,easy,S08_set2_a4,
Finland,"According to Reader's Digest, is Finland best for living?",yes,easy,easy,S08_set2_a4,
Finland,When did the first verifiable written documents appear?,twelfth century,medium,medium,S08_set2_a4,
Finland,What is the capital city?,helsinki,medium,medium,S08_set2_a4,
Finland,What is the most extensively celebrated holiday?,christmas,medium,medium,S08_set2_a4,
Finland,Does a large proportion of the population speak Swedish as its mother tongue?,no,hard,hard,S08_set2_a4,
Finland,Do women live longer than men?,yes,hard,hard,S08_set2_a4,
Finland,What is a country with which Finland is involved in an international conflict?,finland is not involved in international conflicts or border disputes ,hard,hard,S08_set2_a4,
Gerald_Ford,Was Ford a member of the House of Representatives?,yes,easy,easy,S08_set3_a10,
Gerald_Ford,For how long was Ford a member of the House of Representatives?,over eight years,medium,medium,S08_set3_a10,
Gerald_Ford,Was Gerald Ford a member of Delta Kappa Epsilon?,yes,easy,easy,S08_set3_a10,
Gerald_Ford,"Did ford get an award called ""Congressman's congressman""?",yes,easy,easy,S08_set3_a10,
Gerald_Ford,Did ford attend the University of Michigan?,yes,easy,easy,S08_set3_a10,
Gerald_Ford,What positions Ford played in the school football team?,center and linebacker,medium,medium,S08_set3_a10,
Gerald_Ford,What did Ford say about his biological father?,he was abusive and had a history of hitting his mother,medium,medium,S08_set3_a10,
Gerald_Ford,Who did Ford nominate for Vice President?,bob dole,medium,hard,S08_set3_a10,
Gerald_Ford,Was Ford active about Vietnamese affairs?,no,,,,
\n,hard,hard,S08_set3_a10,,,
Gerald_Ford,Had Ford's wife married before?,yes,hard,hard,S08_set3_a10,
Gerald_Ford,Is Ford related with the assassination of John F. Kennedy?,yes,hard,medium,S08_set3_a10,
Gerald_Ford,Was Gerald Ford the 38th President of the United States?,yes,easy,easy,S08_set3_a10,
Gerald_Ford,Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?,yes,easy,easy,S08_set3_a10,
Gerald_Ford,Was Ford an Eagle Scout?,yes,easy,easy,S08_set3_a10,
Gerald_Ford,What district was Ford elected from?,michigan's 5th congressional district,medium,medium,S08_set3_a10,
Gerald_Ford,How many Eagle Scouts were involved in Ford's funeral procession?,400,medium,medium,S08_set3_a10,
Gerald_Ford,Which future Heisman Trophy winner did Ford tackle?,jay berwanger,medium,hard,S08_set3_a10,
Gerald_Ford,Has another US President been an Eagle Scout?,no,hard,hard,S08_set3_a10,
Gerald_Ford,Did Ford need to do extra work to pay for college?,yes,hard,medium,S08_set3_a10,
Gerald_Ford,Have more than five Presidents lived past the age of 90?,no,hard,hard,S08_set3_a10,
Gerald_Ford,How do kwajalein and eniwetok relate?,the monterey supported landings at both locations,,medium,S08_set3_a10,
Gerald_Ford,"What did Ford receive on April 13, 1942?",ford received a commission as ensign in the us naval reserve,,medium,S08_set3_a10,
Gerald_Ford,Was Ford released from the hospital?,yes,,easy,S08_set3_a10,
Gerald_Ford,"Was Ford interred at his Presidential Museum in Grand Rapids, Michigan?",yes,,easy,S08_set3_a10,
Gerald_Ford,Is Ford one of only four former Presidents to live to 90 or more years of age ?,yes,,easy,S08_set3_a10,
Gerald_Ford,Was Ford the last surviving member of the Warren Commission ?,yes,,easy,S08_set3_a10,
Gerald_Ford,"Did Grand Rapids supporters not urge him to take on Bartel J. Jonkman , the incumbent Republican congressman ?",no,,easy,S08_set3_a10,
Gerald_Ford,Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,they did claim ford's pardon was quid pro quo,,easy,S08_set3_a10,
Ghana,Does Ghana have twice the per capita output of the poorer countries in West Africa?,yes,easy,easy,S08_set2_a5,
Ghana,Is English Ghana's official language?,yes,easy,easy,S08_set2_a5,
Ghana,Did the Dutch build the Elmina Castle?,no,easy,medium,S08_set2_a5,
Ghana,When did Ghana achieve independence from the United Kingdom?,1957,medium,medium,S08_set2_a5,
Ghana,How many regions is Ghana divided into?,10,medium,easy,S08_set2_a5,
Ghana,Who is the head of state of Ghana?,president john agyekum kofuor,medium,easy,S08_set2_a5,
Ghana,What is the dominant religion in Ghana?,christian,hard,hard,S08_set2_a5,
Ghana,What are the two subfamilies of the Native Ghanaian languages?,kwa and gur,hard,hard,S08_set2_a5,
Ghana,What is the weather like at Lake Volta?,warm and comparatively dry,hard,hard,S08_set2_a5,
Ghana,Is Ghana in Asia?,no,easy,easy,S08_set2_a5,
Ghana,Is English the official language?,yes,easy,easy,S08_set2_a5,
Ghana,Is Ghana's head of state John Agyekum Kufuor?,yes,easy,easy,S08_set2_a5,
Ghana,What does the word Ghana mean?,warrior king,medium,medium,S08_set2_a5,
Ghana,Who was Kwame Nkrumah?,founder and first president,medium,medium,S08_set2_a5,
Ghana,Where is old Ghana in relation to present Ghana?,500 miles north,medium,medium,S08_set2_a5,
